country,gaz
AUS,143
AUT,74.7
BEL,99.7
CAN,243
CHL,38.4
CZE,59.2
DNK,65.2
EST,7.7
FIN,51.9
FRA,343
DEU,488
GRC,59.3
HUN,47.1
ISL,4
IRL,49
ISR,36.7
ITA,318.8
JPN,512.2
KOR,348.8
LVA,9.3
LTU,11.7
LUX,10.3
MEX,180.9
NLD,116.2
NZL,23.5
NOR,51.3
POL,97
PRT,37
SVK,38.9
SVN,14.9
ESP,217.6
SWE,80.4
CHE,90
TUR,145.8
GBR,341.9
USA,1501.50
ARG,38
BRA,104.3
BRN,1.9
BGR,20.4
KHM,5.4
CHN,523
COL,28
CRI,7.3
HRV,13.2
CYP,6
HKG,80.3
IND,240.2
IDN,90.6
KAZ,36.5
MYS,114.4
MLT,2.4
MAR,18.6
PER,16.5
PHL,29.1
ROU,36.2
RUS,177.8
SAU,87.9
SGP,83.1
ZAF,58.8
TWN,178.3
THA,118.7
TUN,9.3
VNM,67.4
