country,gaz
AUS,119.4
AUT,65.1
BEL,87.8
CAN,225.7
CHL,31.5
CZE,46.9
DNK,53
EST,6.2
FIN,46
FRA,306.7
DEU,413
GRC,44.3
HUN,41.5
ISL,3.7
IRL,41.2
ISR,38.1
ITA,271
JPN,519.5
KOR,285.2
LVA,6.9
LTU,11.4
LUX,9.2
MEX,157.1
NLD,103.7
NZL,23
NOR,43.2
POL,71.5
PRT,33.1
SVK,26.2
SVN,11.8
ESP,177.3
SWE,69.1
CHE,80.1
TUR,117.9
GBR,315.4
USA,1497.60
ARG,28.1
BRA,75.8
BRN,1.6
BGR,11.7
KHM,4.9
CHN,447.9
COL,21.1
CRI,6
HRV,11.9
CYP,5.2
HKG,66
IND,170.4
IDN,81
KAZ,26.4
MYS,95.7
MLT,2.1
MAR,15.1
PER,12.4
PHL,24.8
ROU,26.8
RUS,115.9
SAU,55
SGP,74
ZAF,47.1
TWN,165.1
THA,115.1
TUN,8.2
VNM,46
