country,gaz
AUS,158.2
AUT,69.9
BEL,87.9
CAN,232.4
CHL,43.2
CZE,56.7
DNK,54.1
EST,7
FIN,35.8
FRA,279.3
DEU,427.4
GRC,32.2
HUN,37.1
ISL,2.4
IRL,39.9
ISR,40.2
ITA,215
JPN,492.4
KOR,339.1
LVA,6.2
LTU,12.4
LUX,10.6
MEX,208.8
NLD,86.9
NZL,24.1
NOR,45.8
POL,95.4
PRT,27.5
SVK,32.7
SVN,10.7
ESP,137.4
SWE,62.8
CHE,91.6
TUR,149.5
GBR,282.8
USA,1326.10
ARG,41.8
BRA,160.7
BRN,2.3
BGR,16.2
KHM,7.7
CHN,915.5
COL,42.6
CRI,8.5
HRV,7.4
CYP,5.1
HKG,101.3
IND,302
IDN,134.9
KAZ,30.8
MYS,123.3
MLT,2.2
MAR,20.9
PER,26.9
PHL,47.5
ROU,28.1
RUS,189.2
SAU,130.3
SGP,100.6
ZAF,58.3
TWN,151.8
THA,155.1
TUN,10.4
VNM,99.3
