country,gaz
AUS,131.2
AUT,62.6
BEL,90
CAN,198.6
CHL,30.9
CZE,50.2
DNK,55.3
EST,4.7
FIN,39.8
FRA,269.2
DEU,379
GRC,45.5
HUN,35.8
ISL,2.1
IRL,39.5
ISR,31.8
ITA,223.2
JPN,400.4
KOR,268.7
LVA,5.3
LTU,9.2
LUX,7.8
MEX,145.1
NLD,87.9
NZL,17
NOR,41
POL,79.3
PRT,27.5
SVK,32
SVN,10.7
ESP,138.5
SWE,54.8
CHE,91.4
TUR,110.9
GBR,251.7
USA,1148.70
ARG,30.4
BRA,109.4
BRN,2
BGR,14.5
KHM,4.7
CHN,550.6
COL,24.3
CRI,5.8
HRV,10.6
CYP,6.2
HKG,69.7
IND,246.3
IDN,87.3
KAZ,32.9
MYS,90.6
MLT,2.6
MAR,18.9
PER,16.8
PHL,29.5
ROU,25.9
RUS,137.6
SAU,90.1
SGP,84.6
ZAF,47.2
TWN,126.1
THA,105.4
TUN,9
VNM,68.9
