Country Code,2010
AUS,154.8
AUT,72.5
BEL,89.8
CAN,236.3
CHL,41
CZE,59.2
DNK,53.2
EST,5.7
FIN,41.7
FRA,294.9
DEU,463.9
GRC,40.5
HUN,41.9
ISL,2.4
IRL,38.5
ISR,38.2
ITA,260
JPN,467
KOR,321.3
LVA,6.8
LTU,11.2
LUX,9.2
MEX,184
NLD,93.2
NZL,20.6
NOR,47.5
POL,90.9
PRT,30.3
SVK,34.7
SVN,11.9
ESP,151.3
SWE,69.7
CHE,93.3
TUR,138.1
GBR,275.4
USA,1293.20
ARG,40.1
BRA,150
BRN,2
BGR,13.6
KHM,4.9
CHN,662.1
COL,29.2
CRI,7
HRV,10
CYP,6
HKG,77.2
IND,326.8
IDN,114.1
KAZ,28
MYS,109.1
MLT,2.5
MAR,19.3
PER,22.6
PHL,37.2
ROU,27.8
RUS,172.4
SAU,94.8
SGP,92.1
ZAF,57.1
TWN,160.4
THA,134.8
TUN,10.1
VNM,74.5
