Country Code,2012
AUS,178.5
AUT,73.5
BEL,90.7
CAN,245.5
CHL,47.8
CZE,58.5
DNK,51.5
EST,7
FIN,38.8
FRA,281.4
DEU,435.6
GRC,31.6
HUN,36
ISL,2.5
IRL,34.7
ISR,39.3
ITA,223.4
JPN,530.4
KOR,361.3
LVA,7
LTU,11.8
LUX,9.4
MEX,201
NLD,87.6
NZL,21.8
NOR,44.3
POL,91.9
PRT,27.9
SVK,37.1
SVN,11
ESP,137.3
SWE,67.6
CHE,100.9
TUR,148.8
GBR,281.9
USA,1329.20
ARG,44.1
BRA,165.1
BRN,3.5
BGR,15.1
KHM,6.4
CHN,779.7
COL,39.6
CRI,8.1
HRV,8
CYP,4.9
HKG,90.3
IND,350.1
IDN,142.3
KAZ,37.6
MYS,118.9
MLT,2.5
MAR,21.3
PER,27.4
PHL,40.2
ROU,26.4
RUS,214
SAU,112.9
SGP,101.2
ZAF,63.2
TWN,140.7
THA,163.2
TUN,10.8
VNM,77.2
